Product URL,name,brand name,price
https://www.ajio.com/fig-knitted-round-neck-pullover/p/443013201_ltpink,Knitted Round-Neck Pullover,Fig,300
https://www.ajio.com/hritika-women-striped-straight-kurta-set/p/466751692_maroon,Women Striped Straight Kurta Set,Hritika,632
https://www.ajio.com/ichaa-floral-print-top--pyjamas-set/p/466501998_green,Floral Print Top & Pyjamas Set,ICHAA,537
https://www.ajio.com/house-of-mira-women-schiffli-embroidered-regular-fit-top/p/700180538_peach,Women Schiffli Embroidered Regular Fit Top,House Of Mira,468
https://www.ajio.com/santopera-desinger-women-leaf-print-straight-kurta-set/p/700112273_multi,Women Leaf Print Straight Kurta Set,SANTOPERA DESINGER,540
https://www.ajio.com/columbia-women-on-the-go-joggers/p/466393764_brown,Women On The Go Joggers,Columbia,4749
https://www.ajio.com/stylum-floral-print-a-line-kurta/p/464342145_blue,Floral Print A-line Kurta,STYLUM,640
https://www.ajio.com/canibani-women-printed-gown-dress/p/700071145_blue,Women Printed Gown Dress,CaniBani,856
https://www.ajio.com/femvy-v-neck-tiered-dress-with-smocked-waist/p/466287651_teal,V-Neck Tiered Dress with Smocked Waist,FEMVY,499
https://www.ajio.com/amira-s-indian-ethnic-wear-embroidered-straight-kurta-with-collar-neck/p/466234317_pink,Embroidered Straight Kurta with Collar Neck,Amira's Indian Ethnic Wear,540
https://www.ajio.com/silverfly-pleat-front-pants-with-elasticated-waist/p/465986258_black,Pleat-Front Pants with Elasticated Waist,Silverfly,341
https://www.ajio.com/fable-street-women-high-rise-tapered-fit-trousers/p/467077429_black,Women High-Rise Tapered Fit Trousers,Fable Street,2186
https://www.ajio.com/w-round-neck-straight-kurta-with-placement-floral-print/p/441098726_pink,Round-Neck Straight Kurta with Placement Floral Print,W,710
https://www.ajio.com/silverfly-high-rise-stretch-pants/p/465581718_black,High-Rise Stretch Pants,Silverfly,340
https://www.ajio.com/berrylicious-women-printed-straight-kurta-with-pants--dupatta-set/p/467030701_pink,Women Printed Straight Kurta with Pants & Dupatta Set,BERRYLICIOUS,750
https://www.ajio.com/berrylicious-women-embroidered-straight-kurta-suit-set/p/700157749_blue,Women Embroidered Straight Kurta Suit Set,BERRYLICIOUS,936
https://www.ajio.com/kvs-fab-women-embroidered-flared-kurta-suit-set/p/467277252_orange,Women Embroidered Flared Kurta Suit Set,KVS FAB,1885
https://www.ajio.com/columbia-women-w-outdoor-tracks-full-zip-fleece-jacket/p/466325594_grey,Women W Outdoor Tracks Full Zip Fleece Jacket,Columbia,4799
https://www.ajio.com/house-of-mira-women-schiffli-embroidered-regular-fit-top/p/700180538_yellow,Women Schiffli Embroidered Regular Fit Top,House Of Mira,468
https://www.ajio.com/sheetal-associates-round-neck-top-with-trousers-set/p/466295534_black,Round-Neck Top with Trousers Set,SHEETAL ASSOCIATES,520
https://www.ajio.com/tikhi-imli-women-embroidered-tunic-with-pants-set/p/467135760_brown,Women Embroidered Tunic with Pants Set,TIKHI IMLI,1375
